id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67678	107.77.206.22/32	12425104	test.appdirect.com	1849389	NULL	NULL
67679	18.205.142.215/32	12425104	test.appdirect.com	1849389	NULL	NULL
67680	52.204.200.73/32	12425104	test.appdirect.com	1849389	NULL	NULL
67681	34.203.130.38/32	12425104	test.appdirect.com	1849389	NULL	NULL
67682	3.210.28.182	12425104	test.appdirect.com	1849389	NULL	NULL
67683	101.119.57.0/29	12425104	test.appdirect.com	1849389	NULL	NULL
67684	185.199.108.0/22	12425104	test.appdirect.com	1849389	NULL	NULL
67685	105.30.241.122/32	12425104	test.appdirect.com	1849389	NULL	NULL
67686	52.40.239.248/32	12425104	test.appdirect.com	1849389	NULL	NULL
67687	80.251.176.88/29	12425104	test.appdirect.com	1849389	NULL	NULL
67688	135.70.114.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67689	35.234.91.30/32	12425104	test.appdirect.com	1849389	NULL	NULL
67690	81.82.255.104/32	12425104	test.appdirect.com	1849389	NULL	NULL
67691	63.128.163.0/27	12425104	test.appdirect.com	1849389	NULL	NULL
67692	52.178.71.234/32	12425104	test.appdirect.com	1849389	NULL	NULL
67693	35.234.67.169	12425104	test.appdirect.com	1849389	NULL	NULL
67694	66.203.192.0/32	12425104	test.appdirect.com	1849389	NULL	NULL
67695	4.59.43.128/30	12425104	test.appdirect.com	1849389	NULL	NULL
67696	52.21.112.236/32	12425104	test.appdirect.com	1849389	NULL	NULL
67697	84.198.220.72/29	12425104	test.appdirect.com	1849389	NULL	NULL
67698	35.167.191.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67699	10.38.221.152/32	12425104	test.appdirect.com	1849389	NULL	NULL
67700	67.111.140.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67701	54.204.16.119/32	12425104	test.appdirect.com	1849389	NULL	NULL
67702	34.201.168.58/32	12425104	test.appdirect.com	1849389	NULL	NULL
67703	192.116.39.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67704	23.100.12.34/32	12425104	test.appdirect.com	1849389	NULL	NULL
67705	87.216.176.76/32	12425104	test.appdirect.com	1849389	NULL	NULL
67706	52.27.85.20/32	12425104	test.appdirect.com	1849389	NULL	NULL
67707	54.241.52.158/32	12425104	test.appdirect.com	1849389	NULL	NULL
67708	52.0.204.16/32	12425104	test.appdirect.com	1849389	NULL	NULL
67709	52.41.95.219/32	12425104	test.appdirect.com	1849389	NULL	NULL
67710	183.195.124.114/32	12425104	test.appdirect.com	1849389	NULL	NULL
67711	202.214.245.224/30	12425104	test.appdirect.com	1849389	NULL	NULL
67712	52.89.38.190/32	12425104	test.appdirect.com	1849389	NULL	NULL
67713	52.8.199.57/32	12425104	test.appdirect.com	1849389	NULL	NULL
67714	125.161.220.0/23	12425104	test.appdirect.com	1849389	NULL	NULL
67715	52.214.140.202/32	12425104	test.appdirect.com	1849389	NULL	NULL
67716	191.101.191.4/30	12425104	test.appdirect.com	1849389	NULL	NULL
67717	189.240.107.179/32	12425104	test.appdirect.com	1849389	NULL	NULL
67718	205.251.192.0/19	12425104	test.appdirect.com	1849389	NULL	NULL
67719	60.224.0.0/13	12425104	test.appdirect.com	1849389	NULL	NULL
67720	54.241.19.227/32	12425104	test.appdirect.com	1849389	NULL	NULL
67721	210.148.163.51/32	12425104	test.appdirect.com	1849389	NULL	NULL
67722	74.203.109.164/30	12425104	test.appdirect.com	1849389	NULL	NULL
